Story Heading,Story Excerpt,Timestamp,Section
Sport,"'India under Virat reminds me of Pakistan under Imran,' says Sanjay Manjrekar",Manjrekar says Pakistan's team under Imran found creative ways to win from a losing position due to strong self belief.,"03 Feb, 2020 11:22am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,Oscars viewership plunges to all-time low,"The Oscars usually hover between an audience of 35 and 45 million; this year, only 23.6 million viewers tuned in.","11 Feb, 2020 03:27pm"
,,,
,,,
,,,
,,,
Newspaper,PSL: business or a game?,It is that time of the year again when the Pakistan Super League (PSL) fever has grasped the masses.,"10 Feb, 2020 07:27am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,OIC’s voice on Kashmir issue missing: Imran,PM regrets skipping Kuala Lumpur summit over ‘misconception’.,"05 Feb, 2020 08:10am"
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Shaniera Akram reveals what it's like working on her debut film,"She says her days on Money Back Guarantee's set included language barriers, a sprained ankle and Lays masala chips.","13 Feb, 2020 01:37pm"
World,Violence breaks out in New Delhi over new citizenship law ahead of Trump visit,Hindu nationalist and communist groups also hold pro and anti-US street demonstrations in the capital.,"24 Feb, 2020 03:59pm"
,,,
,,,
,,,
World,China virus cases drop as foreign fears rise,"350 people have been infected in South Korea, including two deaths, making it the hardest-hit country outside China.","22 Feb, 2020 11:10am"
,,,
Newspaper,Book review: World of Reading: Marvel Avengers,Imagine there is a party at your place and most of your friends love to read books.,"22 Feb, 2020 07:08am"
Pakistan,PBC asks govt to refrain from filing reference against judge who handed Musharraf death penalty,PBC chairman says statement was issued in a preventive move to offset any government decision to file the reference.,"04 Feb, 2020 09:50am"
,,,
,,,
,,,
,,,
Newspaper,Local oil production dips 10pc in first half,This was matched by a double-digit fall in crude oil imports.,"23 Feb, 2020 08:19am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,Spotlight,Diversity in Barbie Fashionistas line-up,"15 Feb, 2020 07:32am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,"With no trade deal on the cards, is the Trump visit to India just payback for ‘Howdy Modi’?",With Trump there is always the fear that the US president is more focused on transactional wins.,"21 Feb, 2020 07:39am"
,,,
,,,
,,,
,,,
Newspaper,Iran-linked hackers pose  as journalists in email scam,Iran denies operating or supporting any hacking operation.,"06 Feb, 2020 09:31am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Traffic police launch drive to make schoolkids aware of road safety rules,Over 460 died in traffic accidents in 2018 and 2019 in Karachi alone.,"25 Feb, 2020 08:41am"
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,Uneasy calm descends over Delhi as riots toll hits 38,"Erdogan denounces India for ""massacres of Muslims"".","28 Feb, 2020 11:36am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,PPP calls for JIT to look into judges’  surveillance reports,"Seeks resignation of law minister, PM’s accountability aide.","25 Feb, 2020 07:55am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,"Pakistan helped construct roadmap for US-Taliban peace deal, says FM Qureshi","Reminds US Secretary of State Mike Pompeo Pakistan has ""fulfilled all our promises"" and ensured negotiations bore fruit.","22 Feb, 2020 02:32pm"
,,,
Pakistan,Punjab government is cracking down on fake cosmetics,The cabinet has given approval to The Punjab Drug and Cosmetics Amendment Act 2019.,"05 Feb, 2020 05:00pm"
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,Foreign investors see growth potential in Pakistan: survey,Majority satisfied with business performance.,"07 Feb, 2020 08:30am"
,,,
,,,
,,,
,,,
,,,
Business,Editorial: The IMF outlook may come as a relief for the govt but the moment of relief must be short,"It looks like the recent round of talks with the IMF have gone quite well, perhaps better than expected.","17 Feb, 2020 07:31am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
